word,meaning
Did all your hair fall out of your head?,머리카락이 모두 빠졌나요?
cut it off,잘라버리다
laugh,웃다
a mean face,심술궂은 표정
reply,대답하다
chuckle,낄낄거리며 웃다
shave,면도하다
the rest of it,나머지
That’s the saddest story I ever heard!,그것은 내가 들은 가장 슬픈 이야기야!
burst into tears,갑자기 울음을 터뜨리다
bald head,대머리
evil,사악한
villain,악당
I bet,나는 ~라고 확신해
be able to,~할 수 있다
by myself,혼자서
even though,비록 ~일지라도
don’t have to,~할 필요가 없다
You can pay people to read for you.,다른 사람에게 돈을 주고 읽게 할 수 있어요.
announce,발표하다
pass,넘기다
worksheet,워크시트
I don’t have a clue.,전혀 모르겠어요.
Just sound it out.,그냥 소리를 내어 읽어보세요.
suggest,제안하다
shout,소리치다
give up,포기하다
chant,구호를 외치다
marvel,놀라다
whether or not,~이든 아니든
It wouldn’t matter whether or not I could spell.,내가 철자를 쓸 수 있든 없든 상관없을 거야.
take turns,교대로 하다
chalkboard,칠판
tonight,오늘밤
by the time,~할 때쯤
The whole chalkboard was filled with words.,칠판 전체가 단어로 가득 찼다.
I’m really glad I decided to become a teacher.,저는 선생님이 되기로 결심한 것이 정말 기쁩니다.
lunchbox,도시락
peanut butter,땅콩 버터
sandwich,샌드위치
trade,교환하다
I traded it with Mike for his potato chips.,나는 그것을 마이크의 감자칩과 교환했다.
weird,이상한
She’s the weirdest teacher I ever had.,그녀는 내가 가진 선생님 중 가장 이상한 선생님이야.
What do you mean?,무슨 뜻이야?
impostor,사기꾼
pretend to,~인 척하다
fake,가짜
jewel thief,보석 도둑
bank robber,은행 강도
snuck [sneak] into,몰래 들어갔다
giggle,낄낄거리며 웃다
choke,목이 멘다
cattle rustler,가축 도둑
awful,지독한
My head was starting to fill with all kinds of awful things Miss Daisy could be.,내 머리는 데이지 선생님이 될 수 있는 온갖 끔찍한 것들로 채워지기 시작했다.
kidnap,납치하다
ransom,몸값
claim,요구하다
handsome,잘생긴
railroad track,철도 선로
remind,상기시키다
Wait a minute!,잠깐만!
That doesn’t make sense.,말이 안 돼.
She doesn’t look like a kidnapper to me.,그녀는 나에게 납치범처럼 보이지 않아.
shout,외치다
No way!,절대 안 돼!
I don’t care,상관 안 해
seal,봉인하다
Our lips would be sealed.,우리는 입을 다물 거야.
gross,역겨운
recess,쉬는 시간
burn off energy,에너지를 태우다 (다 써버리다)
make a beeline,곧장 (일직선으로) 가다
monkey bars,구름다리 철봉
swing,그네
even though,비록 ~일지라도
make a promise,약속하다
one another,서로서로
come up with,~을 생각해 내다
Ryan came up with the most genius idea in the history of the world.,라이언은 세계 역사상 가장 천재적인 아이디어를 생각해냈다.
company,회사
It happens all the time.,그런 일은 항상 일어난다.
video-game arcade,오락실
Could we turn it into a video-game arcade?,이걸 오락실로 바꿀 수 있을까?
instead of,~대신에
hallways,복도
almost,거의
as much as,~만큼
empty,빈
nickel,5센트 동전
penny,1센트 동전
dime,10센트 동전
pile,더미
financial,금융의
Beats me!,나도 몰라!
What a great idea!,정말 훌륭한 아이디어다!
arrange a meeting,회의를 주선하다
have to,~해야 한다
nurse,간호사
make sense,이해가 되다
It didn’t make sense at all.,전혀 말이 안 됐다.
keep an eye on,~을 지켜보다
I will have to keep an eye on her.,나는 그녀를 지켜봐야 할 거야.
line up,줄을 서다
in size order,크기 순으로
take off,(옷이나 신발을) 벗다
mud,진흙
weigh,무게를 재다
measure,측정하다
obviously,분명히
gather,모으다
The heavier you are; the smarter you are.,무거울수록 더 똑똑하다.
overweight,과체중의
awesome,대단한
metal,금속
disappear,사라지다
circumference,둘레(원주)
diameter,지름
scale,저울
floor,바닥
veterinarian,수의사
vet,수의사(짧은 표현)
vegetarian,채식주의자
veteran,베테랑
Everybody laughed even though I didn’t say anything funny.,내가 재미있는 말을 한 게 아닌데 모두 웃었다.
take care of,돌보다
injure,다치게 하다
gut,내장(몸 속 장기기관)
upset,화난
Emily got all upset and ran out of the room crying.,에밀리는 완전히 화가 나서 울며 방을 뛰쳐나갔다.
dumb,어리석은
dig a hole,구멍을 파다
firefighter,소방관
astronaut,우주비행사
businessman,사업가
She gave Miss Daisy a big smile.,그녀는 데이지 선생님에게 큰 미소를 지어 보였다.
